"sub","name","size"
"Department of Veterans Affairs","DUKE UNIVERSITY",993651.8
"Department of Veterans Affairs","SPECTRANETICS CORPORATION THE",993471.18
"Department of Veterans Affairs","SPARTAN MEDICAL INC",992052.5
"Department of Veterans Affairs","KPAUL PROPERTIES LLC",991675.44
"Department of the Air Force","APPLIED SIGNALS INTELLIGENCE INC",999998
"Department of the Air Force","MATERIALS SCIENCES LLC",999996
"Department of the Air Force","MANAGEMENT SCIENCES INC",999995
"Department of the Air Force","BLUERISC INC",999988
"Department of the Air Force","MICROCOSM INC",999981
"Department of the Air Force","WESTERN STATES METALS INC",999587.4
"Department of the Air Force","YANG ENTERPRISES INC",999116.03
"Department of the Air Force","SYSTEMS ENGINEERING & MANAGEMENT COMPANY",998873
"Department of the Air Force","OM GROUP INC",998614.2
"Department of the Air Force","LOGMET LLC",998577.02
"Department of the Army","CRITICAL LINK LLC",999984
"Department of the Army","J R PLUMER ASSOCIATES LLC",999964
"Department of the Army","SCIPERIO INC",999953
"Department of the Army","EPIBONE INC",999921.26
"Department of the Army","PROPULSION SCIENCE & TECHNOLOGY INC",999919.65
"Department of the Army","SHARP VISION SOFTWARE LLC",999859.08
"Department of the Army","THERADAPTIVE INCORPORATED",999824.78
"Department of the Army","KERBEROS INTERNATIONAL INC",999755.86
"Department of the Army","MV INNOVATIVE TECHNOLOGIES LLC",999730.11
"Department of the Army","MIRLOGIC SOLUTIONS CORPORATION",999625.56
"Department of the Navy","ENDGAME SYSTEMS LLC",999999.99
"Department of the Navy","ADVANCED CONDUCTOR TECHNOLOGIES LLC",999999
"Department of the Navy","SI2 TECHNOLOGIES INC",999996.43
"Department of the Navy","ADVANCED COOLING TECHNOLOGIES INC",999957.61
"Department of the Navy","ISSAC CORP",999907
"Department of the Navy","SECUREIT TACTICAL INC",999833.03
"Department of the Navy","RADIATION MONITORING DEVICES INC",999676.61
"Department of the Navy","WEIDLINGER TECHNOLOGY VENTURES LLC",999621
"Department of the Navy","MICROWAVE DEVELOPMENT LABORATORIES INC",999585.72
"Department of the Navy","EFFECTIVE AUTOMATION SYSTEMS INC",999406
"Departmental Offices","PEMBROOKE OCCUPATIONAL HEALTH INC",997833.49
"Departmental Offices","SPOTLESS JANITORIAL SERVICES INC",995277.27
"Departmental Offices","NAVIGANT CONSULTING INC",972946.07
"Departmental Offices","KEARNEY & COMPANY PC",972564
"Departmental Offices","CHARTIS CONSULTING CORPORATION",960691.71
"Departmental Offices","CORNERSTONE ONDEMAND INC",930335.48
"Departmental Offices","SKILLSOFT CORPORATION",929260.96
"Departmental Offices","NICHE TECHNOLOGY INC",910960.25
"Departmental Offices","EMERGENT LLC",896409.26
"Departmental Offices","DKW COMMUNICATIONS INC",890656
"Domestic Nuclear Detection Office","WILLIAM F HAWK CONSULTING INC",853699.5
"Domestic Nuclear Detection Office","RJS CONSTRUCTION INC",839395
"Domestic Nuclear Detection Office","RAYTHEON COMPANY",494943.99
"Domestic Nuclear Detection Office","EUCLID BEAMLABS LLC",489470.78
"Domestic Nuclear Detection Office","ARDENT MANAGEMENT CONSULTING INC",335064.02
"Domestic Nuclear Detection Office","ACUITY INC",327418
"Domestic Nuclear Detection Office","SPECTRAL LABS INCORPORATED",306137.19
"Domestic Nuclear Detection Office","RAPISCAN LABORATORIES INC",293108.86
"Domestic Nuclear Detection Office","MYTHICS INC",260344.46
"Domestic Nuclear Detection Office","SYMETRICA INC",258000
"Drug Enforcement Administration","FOUR POINTS TECHNOLOGY LLC",995728.06
"Drug Enforcement Administration","NETWORK ENVIRONMENTAL SYSTEMS INCORPORATED",966751.18
"Drug Enforcement Administration","CELLEBRITE INC",961051.64
"Drug Enforcement Administration","ENVISAGE TECHNOLOGIES LLC",949791.05
"Drug Enforcement Administration","BARBARICUM LLC",936916.4
"Drug Enforcement Administration","GENERAL DYNAMICS MISSION SYSTEMS INC",919231.65
"Drug Enforcement Administration","CLEARING INC THE",883776
"Drug Enforcement Administration","INTERNATIONAL BUSINESS SALES & SERVICES CORPORATION",822508.8
"Drug Enforcement Administration","MASTODON DESIGN LLC",799300
"Drug Enforcement Administration","NISH CONSULTING INC",793904
"Economic Development Administration","BRMI CONSULTING INC",939351.74
"Economic Development Administration","FEDBIZ IT SOLUTIONS LLC",261189.8
"Economic Development Administration","JJA CONSULTANTS INC",250000
"Economic Development Administration","COGAN TECHNOLOGY INC",240606.51
"Economic Development Administration","CATALYST GROUP OF COMPANIES LIMITED LIABILITY COMPANY THE",240000
"Economic Development Administration","ACCENTURE FEDERAL SERVICES LLC",172960
"Economic Development Administration","CELLCO PARTNERSHIP",127058.61
"Economic Development Administration","CSP ENTERPRISES LLC",90033.9
"Economic Development Administration","MIDTOWN PERSONNEL INC",86419.2
"Economic Development Administration","EXECUTIVE INFORMATION SYSTEMS LLC",75210.75
"Economic Research Service","WESTAT INC",648934
"Economic Research Service","NATIONAL OPINION RESEARCH CENTER",621334
"Economic Research Service","DATA FEDERAL CORPORATION",564827.2
"Economic Research Service","BRAVO CONSULTING GROUP LLC",500793.6
"Economic Research Service","SERVICE SOURCE INC",318716.72
"Economic Research Service","NEW TECH SOLUTIONS INC",307193.77
"Economic Research Service","RECOVERY POINT SYSTEMS INC",259920
"Economic Research Service","MIDTOWN PERSONNEL INC",211680.32
"Economic Research Service","GOVERNMENT ACQUISITIONS INC",160520.68
"Economic Research Service","DELL MARKETING LP",154610.04
"Election Assistance Commission","FORS MARSH GROUP LLC",686134.67
"Election Assistance Commission","ASHFORD TRS POOL A LLC",177268.42
"Election Assistance Commission","SVANACO INC",171549.92
"Election Assistance Commission","BROWN & COMPANY CERTIFIED PUBLIC ACCOUNTANTS AND MANAGEMENT CONSULTANTS PLLC",119178.6
"Election Assistance Commission","TI VERBATIM CONSULTING INC",94098.72
"Election Assistance Commission","CREATIVE OPTIONS OF DISTRICT OF COLUMBIA INC",90000
"Election Assistance Commission","GOVSMART INC",56718.9
"Election Assistance Commission","WINVALE GROUP LLC THE",47500
"Election Assistance Commission","BARNES SUPPLY COMPANY INC",47263.2
"Election Assistance Commission","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY",34416
"Employee Benefits Security Administration","ACTUARIAL RESEARCH CORPORATION",683835
"Employee Benefits Security Administration","CASCADES TECHNOLOGIES INC",659360.5
"Employee Benefits Security Administration","SUMMIT CONSULTING LLC",453694.74
"Employee Benefits Security Administration","ALAMO CITY ENGINEERING SERVICES INC",419994.45
"Employee Benefits Security Administration","AMTIS INC",361631
"Employee Benefits Security Administration","AT&T MOBILITY LLC",305304
"Employee Benefits Security Administration","ADVANCED ANALYTICAL CONSULTING GROUP",291550.35
"Employee Benefits Security Administration","BUREAU OF NATIONAL AFFAIRS INC THE",210733
"Employee Benefits Security Administration","ASSET INTERNATIONAL INC",200000
"Employee Benefits Security Administration","MILLIMAN INC",198914
"Employees Compensation Appeals Board","LRP PUBLICATIONS INC",7950
"Employment and Training Administration","JAB INNOVATIVE SOLUTIONS LLC",945756.8
"Employment and Training Administration","COMPUSEARCH SOFTWARE SYSTEMS INC",898356.07
"Employment and Training Administration","COFFEY CONSULTING LLC",866690.17
"Employment and Training Administration","TWOTECH INC",840176.88
"Employment and Training Administration","COLLABRALINK TECHNOLOGIES INCORPORATED",810388.9
"Employment and Training Administration","SOCIAL POLICY RESEARCH ASSOCIATES INC",784844.21
"Employment and Training Administration","IMMIXTECHNOLOGY INC",665330.4
"Employment and Training Administration","NETLOGIC SOLUTIONS INCORPORATED",648650.3
"Employment and Training Administration","ICF INCORPORATED LLC",638430.7
"Employment and Training Administration","URBAN INSTITUTE THE",600000
"Environmental Protection Agency","KCORP TECHNOLOGY SERVICES INC",996280.61
"Environmental Protection Agency","RELIANCE RELOCATION SERVICES INC",982514.4
"Environmental Protection Agency","BADGER TECHNICAL SERVICES LLC",976000
"Environmental Protection Agency","SPRY METHODS INC",975197.38
"Environmental Protection Agency","ALLIANT ALLIANCE LLC",961831.27
"Environmental Protection Agency","IMBUS ROOFING CO INC THE",930910
"Environmental Protection Agency","COGENT SOLUTIONS INC",921157.8
"Environmental Protection Agency","JYG INNOVATIONS LLC",913447.74
"Environmental Protection Agency","ECOSYSTEM PLANNING AND RESTORATION LLC",902316.15
"Environmental Protection Agency","HIGHLIGHT TECHNOLOGIES LLC",899662.44
"Equal Employment Opportunity Commission","WORKFORCE DEVELOPMENT WISCONSIN DEPARTMENT OF",947700
"Equal Employment Opportunity Commission","SAGE COMPUTING INC",904406.48
"Equal Employment Opportunity Commission","RWD CONSULTING LLC",779192.33
"Equal Employment Opportunity Commission","HUMAN RIGHTS MISSOURI COMMISSION ON",769450
"Equal Employment Opportunity Commission","RELX INC",711718.12
"Equal Employment Opportunity Commission","ALAMO CITY ENGINEERING SERVICES INC",681652.78
"Equal Employment Opportunity Commission","TEXAS WORKFORCE COMMISSION",653300
"Equal Employment Opportunity Commission","HUMAN RELATIONS COMMISSION PENNSYLVANIA",648900
"Equal Employment Opportunity Commission","EXECUTIVE OFFICE IOWA DEPARTMENT OF",638200
"Equal Employment Opportunity Commission","HUMAN AFFAIRS COMMISSION SOUTH CAROLINA",616360
"Executive Office of the President","NTT DATA SERVICES FEDERAL GOVERNMENT LLC",993953.78
"Executive Office of the President","V3GATE LLC",962602.46
"Executive Office of the President","RMI SOMALIA",939974
"Executive Office of the President","DIALOGCONCEPTS INC",935870
"Executive Office of the President","SABEL SYSTEMS TECHNOLOGY SOLUTIONS LLC",922947.1
"Executive Office of the President","PRICE MODERN LLC",909295.96
"Executive Office of the President","FOREIGN AWARDEES UNDISCLOSED",908396.75
"Executive Office of the President","SCIENTIA GLOBAL INC",866309
"Executive Office of the President","APC CONSTRUCTION LLC",799222.6
"Executive Office of the President","MUSCOGEE INTERNATIONAL LLC",796182.38
"Export-Import Bank of the United States","ALLEN & OVERY LLP",989690
"Export-Import Bank of the United States","MYTHICS INC",964588.09
"Export-Import Bank of the United States","DR AMADEO JULIAN",950686.99
"Export-Import Bank of the United States","KPMG LLP",888665.65
"Export-Import Bank of the United States","ADERAS INC",773120
"Export-Import Bank of the United States","PANUM TELECOM LLC",752656.46
"Export-Import Bank of the United States","VARELLA E ADVOGADOS ASSOCIADOS",732508.62
"Export-Import Bank of the United States","VIRE CONSULTING INC",537300
"Export-Import Bank of the United States","FIG LEAF SOFTWARE INC",519944.04
"Export-Import Bank of the United States","DUN & BRADSTREET INC",510858.2
"Farm Service Agency","ANCHOR INGREDIENTS CO LLC",945549.9
"Farm Service Agency","CHK MANUFACTURING INC",876349.12
"Farm Service Agency","SPOKANE SEED COMPANY",827675.1
"Farm Service Agency","INUTEQ LLC",824394.9
"Farm Service Agency","DATASCAPE LLC",767459.56
"Farm Service Agency","ACE INFO SOLUTIONS INC",746000
"Farm Service Agency","NEVER ENDING TECHNOLOGY INC",713299.2
"Farm Service Agency","RS GRAIN LLC",706836.2
"Farm Service Agency","AIRBUS DS GEO INC",700000
"Farm Service Agency","DL STONE ENTERPRISES LLC",658845.41
"Federal Acquisition Service","INQUISIT LLC",959286.78
"Federal Acquisition Service","CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY",959023.01
"Federal Acquisition Service","PROALL INTERNATIONAL MFG INC",937740
"Federal Acquisition Service","METRO AUTO AUCTION DALLAS LLC",922000
"Federal Acquisition Service","CASK TECHNOLOGIES LLC",910396.51
"Federal Acquisition Service","CONTRACTING RESOURCES GROUP INC",895754.8
"Federal Acquisition Service","DELCEE INC",888600
"Federal Acquisition Service","ATS GROUP LLC",884887.1
"Federal Acquisition Service","CALIBRE SYSTEMS INC",833480.93
"Federal Acquisition Service","GOVSMART INC",807319.94
"Federal Aviation Administration","DASSAULT SYSTEMES AMERICAS CORP",988407.75
"Federal Aviation Administration","KEARNEY & COMPANY PC",987266.02
"Federal Aviation Administration","ADVANCIA CORPORATION",976831.72
"Federal Aviation Administration","MCKENZIES CLEANING INC",974519.36
"Federal Aviation Administration","COWBOY ELECTRICAL SERVICES INC",968255
"Federal Aviation Administration","AVIATION CONSTRUCTION & ELECTRIC LLC",961651.44
"Federal Aviation Administration","SCALFO ELECTRIC INC",960613.78
"Federal Aviation Administration","ANTIOK HOLDINGS INC",956906.08
"Federal Aviation Administration","PLANTRONICS INC",953815.8
"Federal Aviation Administration","INTERCONTINENTAL HOTELS PUERTO RICO INC",949336.59
"Federal Bureau of Investigation","NEXSYST INCORPORATED",990000
"Federal Bureau of Investigation","ABBA TECHNOLOGIES INC",984901.08
"Federal Bureau of Investigation","XEROX CORPORATION",962235.15
"Federal Bureau of Investigation","GOVSMART INC",911124.21
"Federal Bureau of Investigation","PANAMERICA COMPUTERS INC",900668.55
"Federal Bureau of Investigation","VENIO SYSTEMS LLC",898000
"Federal Bureau of Investigation","SPECIAL ELECTRONICS INC",896517.29
"Federal Bureau of Investigation","VERTICAL JOBS INC",891197.81
"Federal Bureau of Investigation","NEW RIVER SYSTEMS CORPORATION",887313.6
"Federal Bureau of Investigation","PEN-LINK LTD",875368.54
"Federal Communications Commission","DYNAMIC SYSTEMS INC",940802.76
"Federal Communications Commission","XEROX CORPORATION",865961.75
"Federal Communications Commission","HIGHLIGHT TECHNOLOGIES LLC",826618.73
"Federal Communications Commission","KEARNEY & COMPANY PC",766249.34
"Federal Communications Commission","BG CONSULTING SERVICES LLC",671524.73
"Federal Communications Commission","GOVCONNECTION INC",665531.12
"Federal Communications Commission","FCN INC",609352.57
"Federal Communications Commission","1 SOURCE CONSULTING INC",606100.73
"Federal Communications Commission","LANI EKO & COMPANY CPAS PLLC",559192.62
"Federal Communications Commission","WEB TRAITS INC",544133.16
"Federal Election Commission","AUROTECH INC",859731.66
"Federal Election Commission","WEST PUBLISHING CORPORATION",550723.75
"Federal Election Commission","EMERGENT LLC",384093.84
"Federal Election Commission","MINBURN TECHNOLOGY GROUP LLC",301818.6
"Federal Election Commission","SOLUTIONS BY DESIGN II LLC",272023.72
"Federal Election Commission","DLT SOLUTIONS LLC",212130.01
"Federal Election Commission","SD SOLUTIONS LLC",201600
"Federal Election Commission","CONZINITY GROUP LLC",196410
"Federal Election Commission","MICROSOFT CORPORATION",191748
"Federal Election Commission","INFORMATION TECHNOLOGY COALITION INC",169562.55
"Federal Emergency Management Agency","XTEC INCORPORATED",992800.54
"Federal Emergency Management Agency","RSDCGROUP LLC",986366.13
"Federal Emergency Management Agency","MADISON HOSPITALITY SERVICES LLC",980811.96
"Federal Emergency Management Agency","KEYS RVMOBILE HOME CONDOMINIUM ASSOCIATION INC",974400
"Federal Emergency Management Agency","CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY",954191.93
"Federal Emergency Management Agency","POTOMAC ELECTRIC POWER COMPANY",929227.85
"Federal Emergency Management Agency","SWN COMMUNICATIONS INC",929019.12
"Federal Emergency Management Agency","UTILITY TRAILER SALES OF ALABAMA LLC",928968
"Federal Emergency Management Agency","ALEXTON INCORPORATED",924866.56
"Federal Emergency Management Agency","PYRAMID SYSTEMS INC",917223.8
"Federal Energy Regulatory Commission","RECOVERY POINT SYSTEMS INC",799010.28
"Federal Energy Regulatory Commission","WINSTON-SALEM INDUSTRIES FOR THE BLIND INC",603363.06
"Federal Energy Regulatory Commission","S&P GLOBAL INC",583279.7
"Federal Energy Regulatory Commission","FPS ENERGY CONSULTING LLC",550000
"Federal Energy Regulatory Commission","CCH INCORPORATED",545532.99
"Federal Energy Regulatory Commission","DJ WARREN & ASSOCIATES INC",538345.15
"Federal Energy Regulatory Commission","YOUR RECRUITING COMPANY INC",533203.2
"Federal Energy Regulatory Commission","EMERGENT LLC",532556.6
"Federal Energy Regulatory Commission","GENSCAPE INC",500214.95
"Federal Energy Regulatory Commission","TALU LLC",472588.9
"Federal Highway Administration","MACKAY & SPOSITO INC",981375.38
"Federal Highway Administration","WERIS INC",943863.42
"Federal Highway Administration","UNIVERSITY OF WISCONSIN SYSTEM",924297
"Federal Highway Administration","WEST POINT CONTRACTORS INC",919119.9
"Federal Highway Administration","BUILDING SYSTEMS INC",909656.8
"Federal Highway Administration","CI LOVELL INC",904500
"Federal Highway Administration","ATKINS-KCI JOINT VENTURE",900292.77
"Federal Highway Administration","ROBO HOLDINGS LLC",885062
"Federal Highway Administration","SYMPLICITY CORPORATION",881860.64
"Federal Highway Administration","AQUATERRA CONTRACTING LLC",874675.53
"Federal Housing Finance Agency","FULCRUM IT SERVICES LLC",734387.69
"Federal Housing Finance Agency","JACOBS ENGINEERING GROUP INC",-202232.42
"Federal Labor Relations Authority","QUICKBASE INC",371059.2
"Federal Labor Relations Authority","PANAMERICA COMPUTERS INC",270613.21
"Federal Labor Relations Authority","THREE WIRE SYSTEMS LLC",259999.46
"Federal Labor Relations Authority","HR ANEW INC",222000
"Federal Labor Relations Authority","DEMBO JONES PC",196656
"Federal Labor Relations Authority","YOUNTS CONSULTING INC",83038.02
"Federal Labor Relations Authority","PRESIDIO NETWORKED SOLUTIONS LLC",69371.38
"Federal Labor Relations Authority","WEST PUBLISHING CORPORATION",53075.1
"Federal Labor Relations Authority","KAPAX SOLUTIONS LLC",46296
"Federal Labor Relations Authority","DELL MARKETING LP",43752.49
"Federal Law Enforcement Training Center","COASTAL HOTELS CORPORATION",997764
"Federal Law Enforcement Training Center","FUTURENET GROUP INC",908339.13
"Federal Law Enforcement Training Center","GOVPLACE",884143.77
"Federal Law Enforcement Training Center","RED RIVER TECHNOLOGY LLC",856858.7
"Federal Law Enforcement Training Center","MAINTENANCE ENGINEERS INC",844115.68
"Federal Law Enforcement Training Center","DALPAR CORPORATION",822310.08
"Federal Law Enforcement Training Center","SUNONE INCOME PROPERTIES",799511
"Federal Law Enforcement Training Center","FS PARTNERS LLP",799101.25
"Federal Law Enforcement Training Center","UTM LIMITED",782270.98
"Federal Law Enforcement Training Center","BLUE TECH INC",756511.73
"Federal Maritime Commission","ZIVARO INC",437728.16
"Federal Maritime Commission","GOVCONNECTION INC",183339.43
"Federal Maritime Commission","CITIBANK NATIONAL ASSOCIATION",171916.26
"Federal Maritime Commission","VOIGT PETERS ASSOCIATES LLC",139120
"Federal Maritime Commission","JOC GROUP INC",115932
"Federal Maritime Commission","DATAMYNE INC",78137.96
"Federal Maritime Commission","NEW TECH SOLUTIONS INC",56445.5
"Federal Maritime Commission","DEMBO JONES PC",56249.1
"Federal Maritime Commission","CELLCO PARTNERSHIP",46017.78
"Federal Maritime Commission","GRADUATE SCHOOL",45314
"Federal Mediation and Conciliation Service","NEOSTEK INC",980834.2
"Federal Mediation and Conciliation Service","SWISH DATA CORPORATION",479172
"Federal Mediation and Conciliation Service","MCI COMMUNICATIONS SERVICES INC",337030.32
"Federal Mediation and Conciliation Service","SAVAN GROUP LLC",250328
"Federal Mediation and Conciliation Service","SHI INTERNATIONAL CORP",244848.75
"Federal Mediation and Conciliation Service","CONTRACT FURNITURE OPTIONS INC",220000
"Federal Mediation and Conciliation Service","I3SOLUTIONS INC",181800
"Federal Mediation and Conciliation Service","RINGCENTRAL INC",150000
"Federal Mediation and Conciliation Service","MERP SYSTEMS INC",130135.2
"Federal Mediation and Conciliation Service","GLOWS CORP",124000
"Federal Mine Safety and Health Review Commission","CDW GOVERNMENT LLC",543776.42
"Federal Mine Safety and Health Review Commission","HIRE ONE PERSONNEL SERVICES OF WASHINGTON DC LLC",482247.08
"Federal Mine Safety and Health Review Commission","PROJECT SUPPORT SERVICES INC",358130.96
"Federal Mine Safety and Health Review Commission","QWEST GOVERNMENT SERVICES INC",307489.66
"Federal Mine Safety and Health Review Commission","T F S GROUP INC",217125.01
"Federal Mine Safety and Health Review Commission","CITIBANK NA",177788.35
"Federal Mine Safety and Health Review Commission","WEST PUBLISHING CORPORATION",176880.37
"Federal Mine Safety and Health Review Commission","MICROPACT FEDERAL LLC",153164.01
"Federal Mine Safety and Health Review Commission","CAPITAL REPORTING COMPANY",139444.43
"Federal Mine Safety and Health Review Commission","J KENT & ASSOCIATES INC",138377.28
"Federal Motor Carrier Safety Administration","MFR CONSULTANTS INC",979521.72
"Federal Motor Carrier Safety Administration","REGULATORY GROUP INC THE",959013.22
"Federal Motor Carrier Safety Administration","PROJECT SOLUTIONS GROUP INC",848956
"Federal Motor Carrier Safety Administration","INTEGRATED TECHNOLOGY SOLUTIONS INC",827309.98
"Federal Motor Carrier Safety Administration","INQUISIT LLC",664148.13
"Federal Motor Carrier Safety Administration","PREMIER MANAGEMENT CORPORATION",652890.9
"Federal Motor Carrier Safety Administration","PATHFINDER CONSULTANTS LLC",602282.82
"Federal Motor Carrier Safety Administration","CRITTENTON CONSULTING GROUP INC",539596.8
"Federal Motor Carrier Safety Administration","ACCENTURE FEDERAL SERVICES LLC",487564.78
"Federal Motor Carrier Safety Administration","REAL TIME PROCESS SOLUTIONS LLC",472995
"Federal Prison Industries / Unicor","FAST FEET INC",995736
"Federal Prison Industries / Unicor","SAFE REFLECTIONS INC",987512.06
"Federal Prison Industries / Unicor","POWER CONNECTOR INC",964461.56
"Federal Prison Industries / Unicor","HIGHLAND CANINE TRAINING LLC",937377.29
"Federal Prison Industries / Unicor","UNION TECHNOLOGY CORPORATION",906006
"Federal Prison Industries / Unicor","JORTEX INC",852765.13
"Federal Prison Industries / Unicor","NATIONAL CAP AND SPORTSWEAR INC",844981
"Federal Prison Industries / Unicor","OLYMPIC STEEL INC",828432.19
"Federal Prison Industries / Unicor","MCCOMB INDUSTRIES LLLP",823082
"Federal Prison Industries / Unicor","ASSETWORKS LLC",810128
"Federal Prison System / Bureau of Prisons","JCC ENGINEERING SERVICES INC",998591.93
"Federal Prison System / Bureau of Prisons","ATMOS ENERGY CORPORATION",994214.08
"Federal Prison System / Bureau of Prisons","MCNEWS PRODUCE CO",991315.39
"Federal Prison System / Bureau of Prisons","PROFFER WHOLESALE PRODUCE INC",977364.55
"Federal Prison System / Bureau of Prisons","NOBLE SALES CO INC",963063.17
"Federal Prison System / Bureau of Prisons","MULLEN MARKETING LLC",961803.49
"Federal Prison System / Bureau of Prisons","MARIANNA CITY OF",958639.85
"Federal Prison System / Bureau of Prisons","MEDSTAR AREA METROPOLITAN AMBULANCE AUTHORITY",955450.63
"Federal Prison System / Bureau of Prisons","POTOMAC EDISON COMPANY THE",952021.9
"Federal Prison System / Bureau of Prisons","PACIFIC FORENSIC PSYCHOLOGY ASSOCIATES INC",946739
"Federal Railroad Administration","DIGITAL MANAGEMENT LLC",827423.86
"Federal Railroad Administration","SHEARMAN & STERLING LLP",803855
"Federal Railroad Administration","HALVIK CORP",783829.85
"Federal Railroad Administration","SYNTEK TECHNOLOGIES INC",712627.2
"Federal Railroad Administration","ARUP USA INC",695407
"Federal Railroad Administration","QUEST DIAGNOSTICS CLINICAL LABORATORIES INC",559536.57
"Federal Railroad Administration","AURORA FLIGHT SCIENCES CORPORATION",536221
"Federal Railroad Administration","BATTELLE MEMORIAL INSTITUTE",513576
"Federal Railroad Administration","MASSACHUSETTS INSTITUTE OF TECHNOLOGY",499999.1
"Federal Railroad Administration","GENERAL ELECTRIC COMPANY",487907
"Federal Trade Commission","ICF INCORPORATED LLC",977336
"Federal Trade Commission","WEST PUBLISHING CORPORATION",968743.65
"Federal Trade Commission","ANALYSIS GROUP INC",902412
"Federal Trade Commission","DOMESTIC AWARDEES UNDISCLOSED",801196.64
"Federal Trade Commission","SERCO INC",778736
"Federal Trade Commission","CTR MANAGEMENT GROUP LLC",754444.16
"Federal Trade Commission","STERLING COMPUTERS CORPORATION",752210.25
"Federal Trade Commission","PARK AMERICA INC",711209.52
"Federal Trade Commission","STAR CONTRACT SERVICES LLC",707968.82
"Federal Trade Commission","SPECTRUM MANAGEMENT LLC",675300
"Federal Transit Administration","DATASTRONG LLC",971649.14
"Federal Transit Administration","ENVISIONKMJ JOINT VENTURE",939283
"Federal Transit Administration","EC AMERICA INC",904818
"Federal Transit Administration","TFC CONSULTING INC",857653.3
"Federal Transit Administration","ATKINS NORTH AMERICA INC",786375.06
"Federal Transit Administration","RMW ASSOCIATES LLC",773632.02
"Federal Transit Administration","LOUIS BERGER GROUP DOMESTIC INC THE",727360
"Federal Transit Administration","HALVIK CORP",723832.34
"Federal Transit Administration","ADVANCE EMPLOYEE INTELLIGENCE LLC",692230
"Federal Transit Administration","APTIM FEDERAL SERVICES LLC",675216
"Financial Crime Enforcement Network","WATERSHED SECURITY LLC",979345.92
"Financial Crime Enforcement Network","NORTHROP GRUMMAN SYSTEMS CORPORATION",878644
"Financial Crime Enforcement Network","CATAPULT TECHNOLOGY LTD",804038.4
"Financial Crime Enforcement Network","DYNAMIC SYSTEMS INC",773041.16
"Financial Crime Enforcement Network","FCN INC",596392.04
"Financial Crime Enforcement Network","WEST PUBLISHING CORPORATION",535014.56
"Financial Crime Enforcement Network","CONTRACT SOLUTIONS INC",524117.6
"Financial Crime Enforcement Network","RELX INC",523635
"Financial Crime Enforcement Network","NEW TECH SOLUTIONS INC",468106.02
"Financial Crime Enforcement Network","COGENTA CORPORATION",443762.8
"Food Safety and Inspection Service","CHARM SCIENCES INC",669575.7
"Food Safety and Inspection Service","CHEROKEE NATION TECHNOLOGIES LLC",557721.3
"Food Safety and Inspection Service","NEW TECH SOLUTIONS INC",539289.57
"Food Safety and Inspection Service","BIOMERIEUX  INC",532687.57
"Food Safety and Inspection Service","HYGIENA LLC",485287.66
"Food Safety and Inspection Service","3M COMPANY",459229.5
"Food Safety and Inspection Service","THE MITRE CORPORATION",440488
"Food Safety and Inspection Service","LABSOURCE INC",440206.25
"Food Safety and Inspection Service","TALU LLC",422067.44
"Food Safety and Inspection Service","WATERS TECHNOLOGIES CORPORATION",413527.33
"Food and Drug Administration","HEALTH PENNSYLVANIA DEPARTMENT OF",999840
"Food and Drug Administration","FINANCIAL & REALTY SERVICES LLC",995548.52
"Food and Drug Administration","EDIFICE LLC",993172.71
"Food and Drug Administration","E-MANAGEMENT CONSULTANTS INC",983752.59
"Food and Drug Administration","FEDPOINT SYSTEMS LLC",977959.89
"Food and Drug Administration","FEDSCALE INC",970000
"Food and Drug Administration","APPLE 1 ENTERPRISES INC",953326.54
"Food and Drug Administration","DNANEXUS INC",949982.66
"Food and Drug Administration","JENKINS MEMORIAL CENTER AND JENKINS INDUSTRIES INC",947778.38
"Food and Drug Administration","HOSTED RECORDS INC",946796.08
"Food and Nutrition Service","RACE WEST INC",985908.88
"Food and Nutrition Service","NEWBURG EGG CORP",959295.54
"Food and Nutrition Service","INDUSTRIA LECHERA DE PUERTO RICO INC",890603.1
"Food and Nutrition Service","COVENTBRIDGE USA INC",850500
"Food and Nutrition Service","MILLSTONE MILLS INC",844063.74
"Food and Nutrition Service","HOLM DEL RAY & SONS INC",827025.12
"Food and Nutrition Service","TRUETANDEM LLC",789858.75
"Food and Nutrition Service","O-AT-KA MILK PRODUCTS COOPERATIVE INCORPORATED",782428.31
"Food and Nutrition Service","UPSTATE NIAGARA COOPERATIVE INC",779214.96
"Food and Nutrition Service","WESTSTAR FOOD CO LLC",770500
"Foreign Agricultural Service","KELLEY BEAN CO INC",972628.4
"Foreign Agricultural Service","M GROUP PARTNERS LLC",946951.6
"Foreign Agricultural Service","CREATIVE SYSTEMS AND CONSULTING LLC",889797.89
"Foreign Agricultural Service","UNITED OIL PACKERS INCORPORATED",879546.78
"Foreign Agricultural Service","FREEALLIANCECOM LLC",797381.76
"Foreign Agricultural Service","TRINITY PACKAGING LLC",765911.68
"Foreign Agricultural Service","DJS FINANCIAL SERVICES LLC",645400
"Foreign Agricultural Service","BRYANT CHRISTIE INC",565506.75
"Foreign Agricultural Service","AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE",562547
"Foreign Agricultural Service","GDA CORP",507182.31
"Forest Service","EVERGREEN FLYING SERVICES INC",996314.2
"Forest Service","RSI LOGISTICS INC",991077.83
